Series Name,Series Code,Country Name,Country Code,2012 [YR2012]
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.516437606548041
Population growth (annual %),SP.POP.GROW,Iceland,ISL,0.532100734916982
Population growth (annual %),SP.POP.GROW,India,IND,1.28583203721824
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.31061001922409
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.28539455042622
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,3.00616064753757
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.220500758776072
Population growth (annual %),SP.POP.GROW,Isle of Man,IMY,0.831152939827935
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.84615132126711
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.269541239520996
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.294657238442507
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.200320558786153
Population growth (annual %),SP.POP.GROW,Jordan,JOR,2.19226317027572
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.40835255679721
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.67520666311141
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.8535001135717
Population growth (annual %),SP.POP.GROW,"Korea, Dem. Rep.",PRK,0.534447145608194
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.450977410550375
Population growth (annual %),SP.POP.GROW,Kosovo,KSV,0.79212751139101
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,5.41975088763288
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.66523655939962
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.65332954398466
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-1.24035915329271
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,1.17996264486895
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.1921571529919
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.67451548898469
Population growth (annual %),SP.POP.GROW,Libya,LBY,-0.083502662134347
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.692780427346098
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-1.34120198821595
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.40154189982875
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,2.00668604374158
